Type,Bedrooms,Distance,rent_pcm,Road
1_bed,1,0.06,1842,Park Road
1_bed,1,0.07,1625,Park Road
1_bed,1,0.07,1907,Park Road
1_bed,1,0.07,2383,Park Road
1_bed,1,0.08,1820,Gloucester Place
1_bed,1,0.1,1473,Gloucester Place
1_bed,1,0.1,1885,Gloucester Place
1_bed,1,0.1,1950,Gloucester Place
1_bed,1,0.13,1343,Gloucester Place
1_bed,1,0.13,1625,Park Road
1_bed,1,0.13,1625,Park Road
1_bed,1,0.16,1625,Balcombe Street
1_bed,1,0.16,1950,Palgrave Gardens
1_bed,1,0.16,2275,Mary's Court
1_bed,1,0.18,1387,Gloucester Place
1_bed,1,0.18,2383,Changford Street
1_bed,1,0.19,1777,Gloucester Place
1_bed,1,0.21,1517,Balcombe Street
1_bed,1,0.21,1582,Balcombe Street
1_bed,1,0.22,1647,Huntsworth Mews
1_bed,1,0.22,2167,Balcombe Street
1_bed,1,0.22,2383,Balcombe Street
1_bed,1,0.23,1408,Balcombe Street
1_bed,1,0.23,1517,Gloucester Place
1_bed,1,0.24,3575,Baker Street
2_bed,2,0.08,2579,Park Road
2_bed,2,0.09,2167,Gloucester Place
2_bed,2,0.1,3250,Gloucester Place
2_bed,2,0.1,2383,Gloucester Place
2_bed,2,0.1,2925,Palgrave Gardens
2_bed,2,0.1,2058,Gloucester Place
2_bed,2,0.12,3185,Palgrave Gardens
2_bed,2,0.12,3012,Palgrave Gardens
2_bed,2,0.14,2145,Linhope Street
2_bed,2,0.15,3250,Park Road
2_bed,2,0.15,3575,Balcombe Street
2_bed,2,0.15,2730,Gloucester Place
2_bed,2,0.15,5200,Park Road
2_bed,2,0.16,2232,Boston Place
2_bed,2,0.16,3142,Palgrave Gardens
2_bed,1,0.19,4117,Park Lorne
2_bed,2,0.22,2250,Boston Place
2_bed,2,0.22,2275,Boston Place
2_bed,2,0.22,2275,Boston Place
2_bed,2,0.23,8017,Baker Street
2_bed,2,0.24,5850,Baker Street
2_bed,2,0.25,1907,Balcombe Street
2_bed,2,0.23,3813,Dorset Square
2_bed,2,0.12,2817,Palgrave Gardens
2_bed,2,0.19,2253,Park Road
Studio,0,0.11,1495,Balcombe Street
Studio,0,0.12,1954,Baker Street
Studio,0,0.12,1300,Baker Street
Studio,0,0.13,1430,Gloucester Place
Studio,0,0.13,1148,Gloucester Place
Studio,0,0.13,1473,Gloucester Place
Studio,0,0.15,1235,Balcombe Street
Studio,0,0.15,1235,Balcombe Street
Studio,0,0.18,1365,Balcombe Street
Studio,0,0.18,1278,Gloucester Place
Studio,0,0.18,1408,Gloucester Place
Studio,0,0.12,1954,Baker Street
Studio,0,0.24,1929,Baker Street
Studio,0,0.24,2058,Baker Street
Studio,0,0.24,1733,Baker Street
Studio,0,0.08,1625,Gloucester Place
Studio,0,0.24,1127,Tresham Crescent
Studio,0,0.11,1495,Taunton Place
Studio,0,0.13,867,Gloucester Place
Studio,0,0.25,1050,Tresham Crescent
Studio,0,0.18,845,Gloucester Place
