price,winter_rain,AGST,harvest_rain,age,France_Population
7.495,600,17.1167,160,31,43183.569
8.0393,690,16.7333,80,30,43495.03
7.6858,502,17.15,130,28,44217.857
6.9845,420,16.1333,110,26,45152.252
6.7772,582,16.4167,187,25,45653.805
8.0757,485,17.4833,187,24,46128.638
6.5188,763,16.4167,290,23,46583.995
8.4937,830,17.3333,38,22,47128.005
7.388,697,16.3,52,21,48088.673
6.7127,608,15.7167,155,20,48798.99
7.3094,402,17.2667,96,19,49356.943
6.2518,602,15.3667,267,18,49801.821
7.7443,819,16.5333,86,17,50254.966
6.8398,714,16.2333,118,16,50650.406
6.2435,610,16.2,292,15,51034.413
6.3459,575,16.55,244,14,51470.276
7.5883,622,16.6667,89,13,51918.389
7.1934,551,16.7667,112,12,52431.647
6.2049,536,14.9833,158,11,52894.183
6.6367,376,17.0667,123,10,53332.805
6.2941,574,16.3,184,9,53689.61
7.292,572,16.95,171,8,53955.042
7.1211,418,17.65,247,7,54159.049
6.2587,821,15.5833,87,6,54378.362
7.186,763,15.8167,51,5,54602.193
